code,Title,Part. No,Supplier,Buy price GST included ,Unit,Size,Mark up,Marked up,Price per unit,section,description,Order
DRCLS,Austral Door Closer-Blk Satin,2301-BL,Darley,10.78,Each,1,20,12.94,12.94,ac,,2
PDSML,Pet Door Sml 24x19cm Blk,2835-BL,Darley,42.59,Each,1,158,110,110,ac,,3
PDMED,Pet Door Med 30.5.5x22.5cm Blk,2838-BL,Darley,53.21,Each,1,163,140,140,ac,,1
PDLGE,Pet Door Lge 40x26cm Blk,2840-BL,Darley,61.84,Each,1,143,150,150,ac,,
DRFLUBLT,Austral Dbl Flushbolt Sec Doors,1050,Darley,36.39,Each,1,80,65.5,65.5,ac,,
BLDUTSML,Enclosed Jamb Adaptor-Sml,DJ3250,Darley,28.17,Length,1,40,39.44,39.44,adl,Short Leg Buildout,
BLDUTSMLKT,Enclosed Jamb Adaptor-Sml-Kit,StlegJambkit,Internal,27.26,Each,1,113,60,60,adl,Short Leg Buildout - Incls Cut ot size and Cnr stakes,
BLDUTSLGE,Enclosed Jamb Adaptor-Lge,DJ3260,Darley,33.01,Length,1,40,46.22,77.58,adl,Long Leg Buildout,
BLDUTSLGEKT,Enclosed Jamb Adaptor-Lge Kit,LnglegJambkit,Internal,31.66,Each,1,82,60,60,adl,Long Leg Buildout - Incls Cut ot size and Cnr stakes,
TRKU,T/B Sliding Track (U),DT3221,Darley,25.18,Length,1,40,35.25,35.25,adl,U Track,
TRKH,Door Track (H),DT3333,Darley,36.1,Length,1,40,50.54,50.54,adl,H Door Track,
TRKJ,J Track,DT3231,Darley,12.47,Meter,1,50,18.71,18.71,adl,,
TRKPP,Pip Track,DT3232,Darley,9.5,Meter,1,60,15.21,15.21,adl,Bottom Runner,
CHNLU25,U Channel 25x25x1.6mm,DT3223,Darley,27.3,Length,1,30,35.49,35.49,adl,,
SNGTRKHD,Single Fly Door Head,SD421,Darley,49.45,Length,1,10,54.4,54.4,adl,,
SNGTRKSL,Single Fly Door Sill,SD422,Darley,39.92,Length,1,10,43.91,43.91,adl,,
SNGTRKJM,Single Fly Door Jamb,SD425,Darley,40.83,Length,1,10,44.91,44.91,adl,,
DBLTRKHD,Double Fly Door Head,SD621,Darley,79.84,Length,1,10,87.82,87.82,adl,,
DBLTRKSL,Double Fly Door Sill,SD622,Darley,62.79,Length,1,10,69.07,69.07,adl,,
DBLTRKJM,Double Fly Door Jamb,SD625,Darley,62.19,Length,1,10,68.41,68.41,adl,,
BIFLDSL,Bifold Sill,AU02-101,Darley,53.22,Length,1,10,58.54,58.54,adl,,
BIFLDHD,Bifold Head,AU02-102,Darley,92.71,Length,6.5,10,101.98,101.98,adl,,
DBLWINTRKBOT,Double Window Track Bottom,DT3353,Darley,24.63,Length,6.5,50,36.94,36.94,adl,,
DBLWINTRKTP,Double Window Track Top,DT3354,Darley,28.37,Length,6.5,50,42.55,42.55,adl,,
SNGWINTRKTP,Single Window Top Track,DT3355,Darley,24.39,Length,6.5,50,36.58,36.58,adl,,
TRKSECWIN,Sec.Window Track,DT3553,Darley,13.5,Length,6.5,50,20.25,20.25,adl,,
FFSNGTRKTP,Face Fix Single Top Track,DT3557,Darley,29.78,Length,6.5,50,44.67,44.67,adl,Sliding Flyscreen Track with Leg,
FFSNGTRKBOT,Face Fix Single Bottom Track,DT3558,Darley,15.09,Length,6.5,50,22.64,22.64,adl,Sliding Flyscreen Track with Leg,
STPBD,Stop Bead 16mm X 13mm X 3m,2721,Darley,6.19,Length,1,30,8.05,8.05,adl,,
INTLKFRM,Frame Interlock,DI3225,Darley,9.79,Meter,4.3,50,14.69,3.42,adm,,
INTLKFLT,Flat Interlock,DI3228,Darley,9.96,Meter,4.3,50,14.93,3.47,adm,,
INTLK3MM,3mm Offset Interlock,DI3229,Darley,9.49,Meter,4.3,50,14.24,3.31,adm,,
INTLK7MM,7mm Offset Interlock,DI3224,Darley,7.93,Meter,4.3,50,11.9,2.77,adm,Deep/Z Interlock,
BGSTP25WFRNG,Bug Strip 25mm w 16mm Fringe,DB3227WF,Internal,3.22,Each,1,50,4.83,4.83,adm,,
BGSTP25,Bug Strip 25mm,DB3227,Darley,11.26,Meter,4.3,50,16.9,3.93,adm,Wide Bug Strip,
RECVRH,Dble Dr Receiver Channel,DT3204,Darley,22.21,Meter,6.5,40,31.09,4.78,adm,H Receiver,
RECVRHWL,H Receiver (w/inner legs),DT3205,Darley,30.22,Meter,6.5,40,42.3,6.51,adm,H Receiver with inner Legs,
DBLHNGDRCV,Double Door Cover,DT3236,Darley,29.05,Meter,4.3,40,40.67,9.46,adm,HD Cover for French Doors,
ANG1225,Angle 12x25x1.6mm,AN1225,Darley,10.89,Meter,6.5,40,15.24,2.34,adm,,
ANG1220,Angle 20X12X1.6mm,AN2012,Darley,9.77,Meter,6.5,40,13.68,2.1,adm,,
CHNLU2519,U Channel25x19x1.2mm,DT3192,Darley,18.92,Meter,6.5,30,24.6,3.78,adm,,
DBLHNGDRT,T Section,DT3226,Darley,13.18,Meter,4.3,40,18.45,4.29,adm,,
RECVRHLRG,Large H,DT3202,Darley,33.88,Meter,6.5,40,47.43,7.3,adm,Extra deep Receiver,
TRKTPBLDUT,Top Track Build Out,DT3203,Darley,30.55,Meter,6.5,40,42.77,6.58,adm,,
DRJMBOFFST,Door Jamb / Offset H Receiver,DT3344,Darley,34.08,Meter,6.5,40,47.71,7.34,adl,,
SSMESH,316 Stainless Steel Mesh,SS,Commandex,116.6,SqM,1,0,116.6,116.6,mc,,
SECDRFRM,SecureView Door Frame,159,Commandex,52.65,Meter,6,10,57.91,9.65,mc,,
SECDRCRNSTK,Security Door Corner Stake,zdoorstake,Commandex,0.88,Each,1,0,0.88,0.88,mc,,
SECDRWDGPT1,Plug 316,310plug,Commandex,17.94,Meter,4,10,19.73,4.93,mc,,
SECDRWDGPT2,NA,nil,Commandex,0,nil,1,0,0,0,mc,,
SECWNFRM11,11mm Window (Single Frame),160,Commandex,27.72,Meter,6,10,30.49,5.08,mc,,
SECWNFRM9,9mm Window (Single Frame),161,Commandex,27.72,Meter,6,10,30.49,5.08,mc,,
SECWNCRNSTK11,zstake11mm,zstake11mm,Commandex,0.66,Each,1,0,0.66,0.66,mc,,
SECWNCRNSTK9,zstake9mm,zstake9mm,Commandex,0.66,Each,1,0,0.66,0.66,mc,,
SECMIDRL,Midrail,138,Commandex,36,Meter,6,10,39.6,6.6,mc,,
PERFMESH,Xcced,Xcced,Commandex,55,SqM,1,0,0,55,mc,,
PERFWEG,Plug Xceed,310xceed,Commandex,17.94,Meter,4,10,19.73,4.93,mc,,
DGDRFRM,SD9 Door Frame,1400096,Alspec,39.94,Meter,6,10,33.9,5.65,mc,,
DGDRCRNSTK,P2 HD Sec Door Corner,1311211,Alspec,0.7,Each,1,0,0.7,0.7,mc,,
DGWNFRM11,SW1 Security Window Frame,1402016,Alspec,24.38,Meter,6,10,26.81,4.46,mc,,
DGWNFRM9,SW3 Security Window Frame,1402030,Alspec,25,Meter,6,10,27.5,4.58,mc,,
DGWNCRNSTK11,P5 Sec Window Corner,1311226,Alspec,0.4,Each,1,0,0.4,0.4,mc,,
DGWNCRNSTK9,P5Q Serrated Sec Window Corner,1311222,Alspec,0.53,Each,1,0,0.53,0.53,mc,,
7MMDG,7mm Security Grille,144501-,Alspec,26.56,SqM,1,10,29.21,29.21,mc,,
INSDRFRM,FD1A Med Duty Flydoor Frame,1401018,Alspec,38.1,Meter,6.2,10,41.91,6.75,mc,,
INSDRCRNSTK,P2 HD Sec Door Corner,1311211,Alspec,0.7,Each,1,0,0.7,0.7,mc,,
INSMIDRL,K7488 Midrail,1404110,Alspec,20.9,Meter,5.5,10,22.99,4.18,mc,,
INSWNFRM11,25x11mm Flyframe,1404022,Alspec,6.95,Meter,5,10,7.65,1.53,mc,,
INSWNFRM9,22x9mm Flyframe,1404032,Alspec,6.95,Meter,5,10,7.65,1.53,mc,,
INSWNCRNSTK11,FS2CA Corner For FS2 25 x 11mm Frame,1324001,Alspec,0.22,Each,1,0,0.22,0.22,mc,,
INSWNCRNSTK9,FS3CA Corner For FS3 25 x 9mm Frame,1324003,Alspec,0.22,Each,1,0,0.22,0.22,mc,,
INSWNMIDRL,Q4750 Cross Brace,1404050,Alspec,12,Meter,5,10,13.2,2.64,mc,,
INSMSH,Insect Mesh,132605-,Alspec,1.53,SqM,1,10,1.68,1.68,mc,,
INSPETMSH,Petscreen,132704-,Alspec,2.98,SqM,1,10,3.27,3.27,mc,,
INSSPLN,Spline 6mm,1328026,Alspec,0.51,Meter,1,0,0.51,0.51,mc,,
ROLLR,Offset Security Door Roller SS 40Kg,1311905,Alspec,2.68,Each,1,0,2.68,2.68,mc,,
HNG,Sec Door Hinge,1311051,Alspec,0.97,Each,1,0,0.97,0.97,mc,,
SNGLOCKSLD,SD7 Sliding Sec Door Lock,1308371,Alspec,29.52,Each,1,0,29.52,29.52,mc,,
SNGLOCKHNG,Elegance XC Hinged Sec Door Lock,1308090,Alspec,27.47,Each,1,0,27.47,27.47,mc,,
TRPLOCKSLD,SD7 Cable High 3PT Kit SD14plus/H,1308441,Alspec,42.11,Each,1,0,42.11,42.11,mc,,
TRPLOCKHNG,Elegance Cable High 3PT Kit ekit/H,1308092,Alspec,41.42,Each,1,0,41.42,41.42,mc,,
LCKCYL,W841700 CYL 2 x 5 Disc,1304355,Alspec,8,Each,1,0,8,8,mc,,
SNGLOCK,Single Lock,1304355,Alspec,30,Each,1,0,30,8,mc,,
TRPLOCK,Triple Lock,1304355,Alspec,60,Each,1,0,60,8,mc,,
